,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
i576,Geography name: Brantford; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503543; Alternative geographic code: 543; Province or territory geocode: 35; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,,,,,,,,,,,,,,
i577,Geography name: Brant; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053529005; Alternative geographic code: 3529005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i578,Geography name: Brantford; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053529006; Alternative geographic code: 3529006; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i579,Geography name: Six Nations (Part) 40; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053529020; Alternative geographic code: 3529020; Province or territory geocode: 35; Data quality flag: 19999; Data quality note: Incompletely enumerated reserve or settlement (suppressed).,,,,,,,,,,,,,,,,,,,,
i580,Geography name: Woodstock; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504544; Alternative geographic code: 544; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i581,Geography name: Woodstock; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053532042; Alternative geographic code: 3532042; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i582,Geography name: Tillsonburg; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504546; Alternative geographic code: 546; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i583,Geography name: Tillsonburg; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053532004; Alternative geographic code: 3532004; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i584,Geography name: Norfolk; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504547; Alternative geographic code: 547; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i585,Geography name: Norfolk County; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053528052; Alternative geographic code: 3528052; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i586,Geography name: Guelph; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503550; Alternative geographic code: 550; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i587,Geography name: Puslinch; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053523001; Alternative geographic code: 3523001; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i588,Geography name: Guelph; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053523008; Alternative geographic code: 3523008; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i589,Geography name: Guelph/Eramosa; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053523009; Alternative geographic code: 3523009; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i590,Geography name: Stratford; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504553; Alternative geographic code: 553; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i591,Geography name: Stratford; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053531011; Alternative geographic code: 3531011; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i592,Geography name: London; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503555; Alternative geographic code: 555; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i593,Geography name: Central Elgin; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053534020; Alternative geographic code: 3534020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i594,Geography name: St. Thomas; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053534021; Alternative geographic code: 3534021; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i595,Geography name: Southwold; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053534024; Alternative geographic code: 3534024; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i596,Geography name: Strathroy-Caradoc; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053539015; Alternative geographic code: 3539015; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i597,Geography name: Thames Centre; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053539027; Alternative geographic code: 3539027; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i598,Geography name: Middlesex Centre; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053539033; Alternative geographic code: 3539033; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i599,Geography name: London; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053539036; Alternative geographic code: 3539036; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i600,Geography name: Adelaide-Metcalfe; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053539047; Alternative geographic code: 3539047; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i601,Geography name: Chatham-Kent; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504556; Alternative geographic code: 556; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i602,Geography name: Chatham-Kent; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053536020; Alternative geographic code: 3536020; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i603,Geography name: Moravian 47; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053536029; Alternative geographic code: 3536029; Province or territory geocode: 35; Data quality flag: 03030; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i604,Geography name: Windsor; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503559; Alternative geographic code: 559; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i605,Geography name: Leamington; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537003; Alternative geographic code: 3537003; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i606,Geography name: Kingsville; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537013; Alternative geographic code: 3537013; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i607,Geography name: Essex; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537016; Alternative geographic code: 3537016; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i608,Geography name: Amherstburg; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537028; Alternative geographic code: 3537028; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i609,Geography name: LaSalle; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537034; Alternative geographic code: 3537034; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i610,Geography name: Windsor; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537039; Alternative geographic code: 3537039; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i611,Geography name: Tecumseh; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537048; Alternative geographic code: 3537048; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i612,Geography name: Lakeshore; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053537064; Alternative geographic code: 3537064; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i613,Geography name: Sarnia; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504562; Alternative geographic code: 562; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i614,Geography name: St. Clair; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053538003; Alternative geographic code: 3538003; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i615,Geography name: Sarnia 45; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053538025; Alternative geographic code: 3538025; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i616,Geography name: Sarnia; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053538030; Alternative geographic code: 3538030; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i617,Geography name: Point Edward; Geographic area type: Village; Geographic area type abbreviation: VL; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053538031; Alternative geographic code: 3538031; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i618,Geography name: Plympton-Wyoming; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053538035; Alternative geographic code: 3538035; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i619,Geography name: Essa; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504563; Alternative geographic code: 563; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i620,Geography name: Essa; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543021; Alternative geographic code: 3543021; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i621,Geography name: Wasaga Beach; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504565; Alternative geographic code: 565; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i622,Geography name: Wasaga Beach; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543064; Alternative geographic code: 3543064; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i623,Geography name: Owen Sound; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504566; Alternative geographic code: 566; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i624,Geography name: Georgian Bluffs; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053542053; Alternative geographic code: 3542053; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i625,Geography name: Owen Sound; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053542059; Alternative geographic code: 3542059; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i626,Geography name: Collingwood; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504567; Alternative geographic code: 567; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i627,Geography name: Collingwood; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543031; Alternative geographic code: 3543031; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i628,Geography name: Barrie; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503568; Alternative geographic code: 568; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i629,Geography name: Springwater; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543009; Alternative geographic code: 3543009; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i630,Geography name: Innisfil; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543017; Alternative geographic code: 3543017; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i631,Geography name: Barrie; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543042; Alternative geographic code: 3543042; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i632,Geography name: Orillia; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504569; Alternative geographic code: 569; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i633,Geography name: Orillia; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543052; Alternative geographic code: 3543052; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i634,Geography name: Midland; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504571; Alternative geographic code: 571; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i635,Geography name: Penetanguishene; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543072; Alternative geographic code: 3543072; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i636,Geography name: Midland; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053543074; Alternative geographic code: 3543074; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i637,Geography name: North Bay; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504575; Alternative geographic code: 575; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i638,Geography name: Bonfield; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053548027; Alternative geographic code: 3548027; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i639,Geography name: Chisholm; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053548031; Alternative geographic code: 3548031; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i640,Geography name: East Ferris; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053548034; Alternative geographic code: 3548034; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i641,Geography name: North Bay; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053548044; Alternative geographic code: 3548044; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i642,"Geography name: Nipissing, Unorganized, North Part; Geographic area type: Unorganized; Geographic area type abbreviation: NO; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053548094; Alternative geographic code: 3548094; Province or territory geocode: 35; Data quality flag: 00010; Data quality note: ...",,,,,,,,,,,,,,,,,,,,
i643,Geography name: Powassan; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053549060; Alternative geographic code: 3549060; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i644,Geography name: Callander; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053549066; Alternative geographic code: 3549066; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i645,Geography name: Nipissing; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053549071; Alternative geographic code: 3549071; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i646,Geography name: Greater Sudbury; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503580; Alternative geographic code: 580; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i647,Geography name: St.-Charles; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053552004; Alternative geographic code: 3552004; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i648,Geography name: Markstay-Warren; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053552013; Alternative geographic code: 3552013; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i649,Geography name: Whitefish Lake 6; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053552051; Alternative geographic code: 3552051; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i650,Geography name: Greater Sudbury; Geographic area type: City; Geographic area type abbreviation: CV; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053553005; Alternative geographic code: 3553005; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i651,Geography name: Wahnapitei 11; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053553040; Alternative geographic code: 3553040; Province or territory geocode: 35; Data quality flag: 00909; Data quality note: Short-form income data suppressed to meet the confidentiality requirements of the Statistics Act. Long-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,
i652,Geography name: Elliot Lake; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504582; Alternative geographic code: 582; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i653,Geography name: Elliot Lake; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557041; Alternative geographic code: 3557041; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i654,Geography name: Timmins; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504586; Alternative geographic code: 586; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i655,Geography name: Timmins; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053556027; Alternative geographic code: 3556027; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i656,Geography name: Sault Ste. Marie; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504590; Alternative geographic code: 590; Province or territory geocode: 35; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,,,,,,,,,,,,,,
